variant,n,d,phase,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
pcgrad_nm,6,8,late,1.322608512172546,9.320458948577038,445,445,0.007988998960927737,-0.0296536889895521,-0.03764268795047984,-3.7118153519084336
pcgrad_nm,6,8,mid,1.3039512745907214,7.55621924560432,434,434,0.016555355096362794,-0.014712057936328736,-0.03126741303269153,-0.8886585549325348
pcgrad_nm,8,4,early,2.1106276288468235,6.886316444979439,55,55,0.2614452203717015,0.0750439415223301,-0.18640127884937138,0.287035048549133
pcgrad_nm,8,4,late,1.0348598219629372,1.8604637625563087,418,418,0.015644967262183233,-0.010948796646436722,-0.026593763908619956,-0.6998286709683299
pcgrad_nm,8,4,mid,0.8635334230517256,2.347496072846676,356,356,0.0163697573060144,-0.026690478124512536,-0.043060235430526936,-1.630474882770938
pcgrad_nm,8,6,early,1.8913571997270862,7.662062328362323,68,68,0.23272738014640074,0.09346703187019743,-0.13926034827620332,0.4016159671947519
pcgrad_nm,8,6,late,1.5513098048800047,4.585679782078017,407,407,0.01734749191658962,-0.022186369152527276,-0.039533861069116896,-1.2789381461714462
pcgrad_nm,8,6,mid,1.280522485645089,4.424590495149971,396,396,0.016264212377050863,-0.034131738920926705,-0.05039595129797757,-2.0985792689898277
pcgrad_nm,8,8,early,1.586477259873508,12.607595086714241,110,110,0.22291913949774472,0.031059857338826595,-0.19185928215891812,0.13933239383934024
pcgrad_nm,8,8,late,1.3768623705226213,12.371603359930038,418,418,0.013288751922656274,-0.10350908607723099,-0.11679783799988726,-7.7892255555434184
pcgrad_nm,8,8,mid,1.2902932450602704,14.554920121277982,389,389,0.019924979666746317,-0.05536842012390343,-0.07529339979064975,-2.7788444982109692
pcgrad_nm,10,4,early,2.4374383697439175,8.314115760223487,50,50,0.31146710414245915,0.23783874046180842,-0.07362836368065073,0.7636078972661764
pcgrad_nm,10,4,late,1.1850216717385607,2.698636130262161,398,398,0.013052280627805366,-0.018880124947198304,-0.03193240557500367,-1.4465000780766113
pcgrad_nm,10,4,mid,0.8900937740204425,3.0031284649420016,385,385,0.018127129027899758,-0.026433517076853007,-0.044560646104752764,-1.4582296532544536
pcgrad_nm,10,6,early,1.9368598810195703,10.347799392386992,71,71,0.2943028790812458,0.09399479278586877,-0.20030808629537705,0.319381152774657
pcgrad_nm,10,6,late,1.232303788463744,9.789203643561661,411,411,0.02245246029784215,-0.03992836159037353,-0.062380821888215685,-1.7783512835878812
pcgrad_nm,10,6,mid,1.2522338548721605,8.740679484334176,405,405,0.02206666416608258,-0.02550942904836254,-0.04757609321444512,-1.1560165531304745
pcgrad_nm,10,8,early,1.8161217268237437,15.97392196780389,98,98,0.28652527399179417,0.05032756250654099,-0.23619771148525318,0.17564789941700684
pcgrad_nm,10,8,late,1.5330937355445615,17.296920935989377,445,445,0.01201935488471909,-0.048232012617532245,-0.06025136750225134,-4.012862011325785
pcgrad_nm,10,8,mid,1.4990010781289123,16.995775689984224,380,380,0.02233411634450038,-0.03832109915668097,-0.06065521550118135,-1.7158099548504087
lso_grid,4,4,early,1.5874596250985427,2.6910558274883427,77,77,0.09236443149507545,0.16906746386191,0.07670303236683454,1.830439067563839
lso_grid,4,4,late,0.3694973791645578,0.00128709589764695,322,322,0.0006156780520455202,0.0008494187978575061,0.00023374074581198592,1.3796476828033888
lso_grid,4,4,mid,0.7202877813019621,0.02485298674438865,193,193,0.00312399257126654,0.007529870048776116,0.004405877477509576,2.4103354527899308
lso_grid,4,6,early,1.3974784665464584,1.339318271387656,63,63,0.0527052121051871,0.09769108732561398,0.04498587522042687,1.8535375046142635
lso_grid,4,6,late,0.36911471863364725,0.0012272910534387,287,287,0.0005624389659690198,0.0007848206441431593,0.00022238167817413947,1.3953881072073315
lso_grid,4,6,mid,0.5894142878090922,0.0104527030421936,231,231,0.0024743810955950175,0.004318221771469217,0.0018438406758741997,1.7451724712723806
lso_grid,4,8,early,1.2504858267844339,1.1348772529872955,68,68,0.045471773767268776,0.08672828438062333,0.04125651061335455,1.9072993462826289
lso_grid,4,8,late,0.2308738081972705,0.00129406950412075,228,228,0.0003927412142233657,0.00048819675106705765,9.545553684369194e-05,1.2430494518698592
lso_grid,4,8,mid,0.4889023595726115,0.009173772770339799,244,244,0.002018604850416815,0.002863090509579407,0.000844485659162592,1.418351149304044
lso_grid,6,4,early,1.8882627070528146,3.71900130600163,63,63,0.12825017336079944,0.2266600798820237,0.09840990652122425,1.7673276685901458
