variant,n,d,phase,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
pcgrad_nm,6,6,early,2.8620018964659137,1.08926601734204,91,91,0.12109367088469615,0.1735686923941613,0.05247502150946516,1.4333423962300327
pcgrad_nm,6,6,late,1.1904637400384952,0.13140550361251946,334,334,0.019498431141789934,0.008584282435053358,-0.010914148706736576,0.44025503245002773
pcgrad_nm,6,6,mid,2.157884269970556,0.18338747699468366,248,248,0.040160228360345,0.041917318880323774,0.0017570905199787712,1.0437520051981017
pcgrad_nm,6,8,early,2.839942925648674,1.3644058370205803,79,79,0.1397811953566323,0.19586284699449236,0.05608165163786005,1.4012102736335563
pcgrad_nm,6,8,late,1.2751857852076647,0.15414953270253465,308,308,0.014421135887817498,0.009455979093211091,-0.004965156794606407,0.655702793924797
pcgrad_nm,6,8,mid,1.8917807050278177,0.21830765959360593,175,175,0.04108517575149402,0.03901103669660158,-0.0020741390548924404,0.9495161206699471
pcgrad_nm,8,4,early,3.0595433941816754,0.4330967812570523,200,200,0.084431405793443,0.1346875187022285,0.0502561129087855,1.595230085730592
pcgrad_nm,8,4,late,1.386604501473365,0.6058025887657748,364,364,0.052143004677234116,0.013852942174022885,-0.03829006250321123,0.26567211191170853
pcgrad_nm,8,4,mid,2.529795633458175,0.4475171014288327,330,330,0.07176736320275029,0.07244790395722635,0.0006805407544760583,1.009482593815708
pcgrad_nm,8,6,early,3.370223150274911,0.2765923631335739,135,135,0.07189305616109436,0.11206138331332201,0.04016832715222765,1.5587233217936998
pcgrad_nm,8,6,late,2.1574367101779144,0.1721038849289805,278,278,0.03319565762712306,0.032981782994479826,-0.00021387463264323225,0.993557150304247
pcgrad_nm,8,6,mid,2.8564644475048464,0.09826651044763225,377,377,0.03734902714908171,0.06073825765119181,0.0233892305021101,1.626233995567008
pcgrad_nm,8,8,early,3.500361990555739,0.3462812445820948,116,116,0.08574741579905418,0.11575292477203801,0.030005508972983833,1.3499290176079546
pcgrad_nm,8,8,late,2.166429007579805,0.03029264154767445,272,272,0.018702799755520298,0.017064747652529026,-0.0016380521029912727,0.9124167437814872
pcgrad_nm,8,8,mid,2.965524177373527,0.060065184840487604,184,184,0.033055079156449334,0.0412314119225172,0.008176332766067863,1.247354808238981
pcgrad_nm,10,4,early,3.248862730079275,0.5778820597368075,200,200,0.08806910533397037,0.15195045764535584,0.06388135231138546,1.7253548457105183
pcgrad_nm,10,4,late,1.07403009629857,0.8150287031640531,315,315,0.055890659514022695,0.0024067188602491813,-0.053483940653773515,0.04306119987088983
pcgrad_nm,10,4,mid,2.873210029754453,0.8147430204920528,319,319,0.10488296284357483,0.10365138472511719,-0.0012315781184576435,0.9882575960378384
pcgrad_nm,10,6,early,3.7165646416807157,0.08709745562158795,181,181,0.04583796634020296,0.07738375106682784,0.03154578472662488,1.6882021006886843
pcgrad_nm,10,6,late,2.554479234173339,0.3931025050711989,419,419,0.05497597027147669,0.06983890629742949,0.014862936025952803,1.2703533189602325
pcgrad_nm,10,6,mid,3.2692359868399254,0.12623149785102833,386,386,0.03678884718789458,0.08908453700285886,0.052295689814964276,2.421509338084729
pcgrad_nm,10,8,early,4.0144051506743335,0.0672682562969868,142,142,0.04634312987474188,0.06021111359226231,0.013867983717520432,1.2992457297339086
pcgrad_nm,10,8,late,3.0282685488405,0.00838565351170845,340,340,0.012212153177364925,0.037092037689395244,0.02487988451203032,3.037305309774928
pcgrad_nm,10,8,mid,3.580909962370736,0.0180086845430824,213,213,0.022233696841483085,0.035187079340237945,0.01295338249875486,1.5826013816373874
lso_grid,4,4,early,2.042747829493419,2.2271640553273,111,111,0.11039335838575097,0.18531431968646722,0.07492096130071625,1.6786727244850872
lso_grid,4,4,late,0.9703761561325785,0.00591032790279725,232,232,0.0033135384826672135,0.005959418284634596,0.002645879801967382,1.7985058316985643
lso_grid,4,4,mid,1.4090379018508592,0.0414080541072961,282,282,0.01108234499196266,0.02826997342579462,0.01718762843383196,2.5509017672971814
lso_grid,4,6,early,1.9875873948802951,2.249625892864256,83,83,0.09368018785803098,0.19389364177153978,0.1002134539135088,2.069740104122963
lso_grid,4,6,late,0.8546193270108264,0.0019579424916879,296,296,0.001504311039023598,0.002919579726330342,0.001415268687306744,1.940808549956099
lso_grid,4,6,mid,1.0868937502932048,0.02655109080252865,267,267,0.006678686807996329,0.011738753631255218,0.005060066823258888,1.7576439753396607
lso_grid,4,8,early,1.7608233460879763,1.3486700383698382,64,64,0.05975716956248894,0.14856158597545266,0.08880441641296372,2.4860880637945817
lso_grid,4,8,late,0.6816669896577923,0.00106561009337205,296,296,0.0006619138004321445,0.0019318086909821022,0.0012698948905499577,2.9185200394989192
lso_grid,4,8,mid,0.928247841416358,0.009927343327075601,293,293,0.0037942785221997148,0.008706078970316613,0.004911800448116898,2.294528174296837
lso_grid,6,4,early,2.658606264303092,1.3143989427775633,108,108,0.1292277831850806,0.1636977278331251,0.03446994464804451,1.266737877865447
