ansatz,variant,role,n_qubits,depth,outcome,target,spec,spec_kind,time_controlled,seeds_expected,seeds_estimable,cell_estimable,rho_bar,ci_lo,ci_hi,bootstrap_seed,excluded_fraction,top_status
hea,vanilla,primary,8,4,r,C,C_given_G,main,True,30,22,True,-0.09485321130141147,-0.271702899803889,0.07596491057612463,1965012754,0.0,ok
hea,vanilla,primary,8,4,kappa,C,C_given_G,main,False,30,30,True,0.00144438479901795,-0.1708422261390004,0.17910978042981088,1387581671,0.0,ok
hea,vanilla,primary,8,4,kappa,C,C_given_G,main,True,30,22,True,0.09888853443893279,-0.09382133919846783,0.29354633312989054,3360510232,0.0,ok
hea,vanilla,primary,8,6,r,C,C_given_G,main,False,30,27,True,-0.30642868786289224,-0.4464124317346855,-0.14087707988506432,1637675915,0.0,ok
hea,vanilla,primary,8,6,r,C,C_given_G,main,True,30,22,True,-0.09614824104112485,-0.2893476849236873,0.11426879113648633,1346519877,0.0,ok
hea,vanilla,primary,8,6,kappa,C,C_given_G,main,False,30,27,True,0.3236707700608706,0.1407301412994626,0.47287013353788665,651679342,0.0,ok
hea,vanilla,primary,8,6,kappa,C,C_given_G,main,True,30,22,True,0.15889445994177231,-0.07646636993230885,0.3634870756243083,864588804,0.0,ok
hea,vanilla,primary,8,8,r,C,C_given_G,main,False,30,24,True,-0.041033187520936744,-0.1609573014822665,0.09908416934912265,602535826,0.0,ok
hea,vanilla,primary,8,8,r,C,C_given_G,main,True,30,13,False,-0.07577132574111149,-0.2664081097232819,0.10862993092222112,4079806255,0.0,collinear
hea,vanilla,primary,8,8,kappa,C,C_given_G,main,False,30,24,True,0.12269368014329063,-0.02567989633655726,0.2540246380391841,699890265,0.0,ok
hea,vanilla,primary,8,8,kappa,C,C_given_G,main,True,30,13,False,0.20681687065386373,-0.049197729981841416,0.44102990149163,2339130577,0.0,collinear
hea,vanilla,primary,10,4,r,C,C_given_G,main,False,30,30,True,0.2201666751970105,0.023082735427207693,0.40431205563653677,1052873330,0.0,ok
hea,vanilla,primary,10,4,r,C,C_given_G,main,True,30,23,True,0.041111676077817835,-0.21757694228144756,0.2959073491317074,1570724407,0.0,ok
hea,vanilla,primary,10,4,kappa,C,C_given_G,main,False,30,30,True,-0.26344978737427044,-0.4597938867935279,-0.028575705599695522,2343687367,0.0,ok
hea,vanilla,primary,10,4,kappa,C,C_given_G,main,True,30,23,True,-0.10539965283930212,-0.39258030023944795,0.19449005250977353,2742649164,0.0,ok
hea,vanilla,primary,10,6,r,C,C_given_G,main,False,30,30,True,-0.20682902996087218,-0.43687973655807266,0.05365540613425278,3128695474,0.0,ok
hea,vanilla,primary,10,6,r,C,C_given_G,main,True,30,25,True,-0.3276627842079924,-0.5432343743849513,-0.08119987539700156,129161664,0.0,ok
hea,vanilla,primary,10,6,kappa,C,C_given_G,main,False,30,30,True,0.18859520905745192,-0.09318975844620497,0.4305863909773098,3000941752,0.0,ok
hea,vanilla,primary,10,6,kappa,C,C_given_G,main,True,30,25,True,0.3267262742881787,0.07879908542941726,0.5284764884042759,3291225342,0.0,ok
hea,vanilla,primary,10,8,r,C,C_given_G,main,False,30,26,True,-0.39198247642636963,-0.5688046673083779,-0.16181776579022195,4018926323,0.0,ok
hea,vanilla,primary,10,8,r,C,C_given_G,main,True,30,15,False,-0.2886153173464605,-0.5898298702713356,0.11478671992736413,2820711080,0.0,ok
hea,vanilla,primary,10,8,kappa,C,C_given_G,main,False,30,26,True,0.4932956812818937,0.25627529725301623,0.6678946667869238,1688261198,0.0,ok
hea,vanilla,primary,10,8,kappa,C,C_given_G,main,True,30,15,False,0.4854615044474081,0.04543333449899283,0.7653945513325939,1147904154,0.0,ok
hea,vanilla_ls_nm,near-primary,4,4,r,C,C_given_G_nu,main,False,30,29,True,-0.017732584443058787,-0.15767972806880937,0.13257418564639378,3332875583,0.0,ok
hea,vanilla_ls_nm,near-primary,4,4,r,C,C_given_G,overcontrol check,False,30,30,True,-0.033676691739121266,-0.16720242988970907,0.10585202975617476,1478707773,0.0,ok
hea,vanilla_ls_nm,near-primary,4,4,r,C,C_given_G_nu,main,True,30,12,False,0.015195131095969878,-0.15435922547768907,0.2341298983172777,1513413829,0.0,collinear
hea,vanilla_ls_nm,near-primary,4,4,r,C,C_given_G,overcontrol check,True,30,12,False,-0.038647650171032284,-0.21522689441183485,0.18640220593310325,3944543185,0.0,collinear
hea,vanilla_ls_nm,near-primary,4,4,kappa,C,C_given_G_nu,main,False,30,29,True,-0.02446669565443058,-0.24401285181867483,0.20222447872166588,3967070869,0.0,ok
hea,vanilla_ls_nm,near-primary,4,4,kappa,C,C_given_G,overcontrol check,False,30,30,True,-0.026307387044329163,-0.2404531156816131,0.18839594828827477,648910837,0.0,ok
hea,vanilla_ls_nm,near-primary,4,4,kappa,C,C_given_G_nu,main,True,30,12,False,-0.22378195974871112,-0.4472412633199717,0.05102282953825321,2619273035,0.0,collinear
hea,vanilla_ls_nm,near-primary,4,4,kappa,C,C_given_G,overcontrol check,True,30,12,False,-0.16307592145098068,-0.405393200418828,0.09123167427524057,203863312,0.0,collinear
hea,vanilla_ls_nm,near-primary,4,6,r,C,C_given_G_nu,main,False,30,27,True,-0.04393729898261481,-0.17315035983213278,0.07479863786228363,2959209645,0.0,ok
hea,vanilla_ls_nm,near-primary,4,6,r,C,C_given_G,overcontrol check,False,30,27,True,-0.033043410237282946,-0.16605684511951593,0.10087506582749517,3788405694,0.0,ok
hea,vanilla_ls_nm,near-primary,4,6,r,C,C_given_G_nu,main,True,30,16,False,-0.0965752222612181,-0.2606980449036091,0.02500135631594388,3838177560,0.0,ok
hea,vanilla_ls_nm,near-primary,4,6,r,C,C_given_G,overcontrol check,True,30,17,False,-0.15129559628296232,-0.32212598727506,-0.011308306714058804,3413386646,0.0,ok
hea,vanilla_ls_nm,near-primary,4,6,kappa,C,C_given_G_nu,main,False,30,27,True,0.031743565580636464,-0.14654959737343198,0.21846314036839395,1984803459,0.0,ok
hea,vanilla_ls_nm,near-primary,4,6,kappa,C,C_given_G,overcontrol check,False,30,27,True,-0.04560269353773273,-0.2224629973751588,0.13527509694337292,2480810511,0.0,ok
hea,vanilla_ls_nm,near-primary,4,6,kappa,C,C_given_G_nu,main,True,30,16,False,0.1303012662758248,-0.08733016275580756,0.34782982234536103,347219953,0.0,ok
hea,vanilla_ls_nm,near-primary,4,6,kappa,C,C_given_G,overcontrol check,True,30,17,False,0.1476621822092985,-0.07598458083043809,0.3729326932234376,2577819974,0.0,ok
hea,vanilla_ls_nm,near-primary,4,8,r,C,C_given_G_nu,main,False,30,23,True,0.05925172534585068,-0.005721104054017149,0.1252725666569282,3330096429,0.0,ok
hea,vanilla_ls_nm,near-primary,4,8,r,C,C_given_G,overcontrol check,False,30,24,True,0.006903620569434185,-0.05411411275727804,0.08588404689137248,1303714268,0.0,ok
hea,vanilla_ls_nm,near-primary,4,8,r,C,C_given_G_nu,main,True,30,13,False,0.05222843411456681,-0.050461554431203724,0.15823394879684163,2855065083,0.0,collinear
hea,vanilla_ls_nm,near-primary,4,8,r,C,C_given_G,overcontrol check,True,30,14,False,-0.006957898580662714,-0.09719599803262818,0.12060310232266717,3491364567,0.0,collinear
hea,vanilla_ls_nm,near-primary,4,8,kappa,C,C_given_G_nu,main,False,30,23,True,0.06268106680252605,-0.07097107909311885,0.20346605439723078,3248909310,0.0,ok
hea,vanilla_ls_nm,near-primary,4,8,kappa,C,C_given_G,overcontrol check,False,30,24,True,0.1698941391854744,0.022652377009244454,0.30795062694027675,2407992440,0.0,ok
hea,vanilla_ls_nm,near-primary,4,8,kappa,C,C_given_G_nu,main,True,30,13,False,0.1075034755635353,-0.08437336040612954,0.30659370824781496,3720088392,0.0,collinear
hea,vanilla_ls_nm,near-primary,4,8,kappa,C,C_given_G,overcontrol check,True,30,14,False,0.2266464144262676,0.005339210785046702,0.4091683215906072,2912926466,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,4,r,C,C_given_G_nu,main,False,30,27,True,0.02035209341530522,-0.12096366955317518,0.15735611001396613,500393605,0.0,ok
