ansatz,variant,n_qubits,depth,n_seeds_sqrtQ_audit,n_seeds_R_audit,s_R_median,s_A_median,s_RA_cov_median,s_cov_median,sum_check_median,s_G_within_R_median,s_nu_within_R_median,s_Gnu_cov_within_R_median,sum_check_R_median
hea,pcgrad_nm,10,4,30,30,0.3658478787291605,0.46808745715149336,0.15574111977060526,0.15574111977060526,1.0,1.0,5.72194511555474e-31,1.5278868486455442e-18,1.0
hea,pcgrad_nm,10,6,30,30,0.27631944687827525,0.2801001464750716,0.4444518359527373,0.4444518359527373,1.0,1.0,6.897510996776759e-31,-5.4195203060414897e-17,1.0
hea,pcgrad_nm,10,8,30,30,0.24635629640799728,0.26027065965731067,0.49219423206243473,0.49219423206243473,1.0,1.0,3.3514566073109744e-31,1.1436770905786811e-17,1.0
hea,vanilla,4,4,30,30,0.376276933893375,0.15803602029536312,0.46627740483633406,0.46627740483633406,1.0,1.0,0.0,0.0,1.0
hea,vanilla,4,6,30,30,0.3380296818367026,0.18183399821771862,0.4737155073923621,0.4737155073923621,1.0,1.0,0.0,0.0,1.0
hea,vanilla,4,8,30,30,0.394287389718879,0.14097869307143185,0.46177165232741246,0.46177165232741246,1.0,1.0,0.0,0.0,1.0
hea,vanilla,6,4,30,30,0.45000576169488615,0.13637516779412318,0.4221850223791367,0.4221850223791367,1.0,1.0,0.0,0.0,1.0
hea,vanilla,6,6,30,30,0.34743880242653663,0.1754410281481778,0.48044584814257607,0.48044584814257607,1.0,1.0,0.0,0.0,1.0
hea,vanilla,6,8,30,30,0.3164649381750472,0.19606761581453958,0.48674599650899497,0.48674599650899497,1.0,1.0,0.0,0.0,1.0
hea,vanilla,8,4,30,30,0.47023683997106513,0.1485091798003122,0.34815158925141787,0.34815158925141787,1.0,1.0,0.0,0.0,1.0
hea,vanilla,8,6,30,30,0.3627481357308666,0.19270853160183787,0.41720448057610426,0.41720448057610426,1.0,1.0,0.0,0.0,1.0
hea,vanilla,8,8,30,30,0.3199316300681707,0.1934833825620692,0.48760317253210317,0.48760317253210317,1.0,1.0,0.0,0.0,1.0
hea,vanilla,10,4,30,30,0.5142401193885181,0.12866359748701175,0.3567574059013071,0.3567574059013071,1.0,1.0,0.0,0.0,1.0
hea,vanilla,10,6,30,30,0.23419664019860942,0.35928944905529925,0.4234499635381072,0.4234499635381072,1.0,1.0,0.0,0.0,1.0
hea,vanilla,10,8,30,30,0.320754512199121,0.20512555214249978,0.47408975486486893,0.47408975486486893,1.0,1.0,0.0,0.0,1.0
hea,vanilla_ls_nm,4,4,30,30,0.3796296208316515,0.15819804051383257,0.4668965571701884,0.4668965571701884,1.0,1.0177103535447607,0.00963367558480746,-0.025772183800089478,1.0
hea,vanilla_ls_nm,4,6,30,30,0.3591136618658407,0.17455228010739765,0.4722254928362325,0.4722254928362325,1.0,0.9819810893849104,0.0061970409646153485,0.012488583091569454,1.0
hea,vanilla_ls_nm,4,8,30,30,0.36056702319326206,0.1660706007440534,0.47363257263698844,0.47363257263698844,1.0,0.9701493984649829,0.003040771747915144,0.026316313046990697,0.9999999999999999
hea,vanilla_ls_nm,6,4,30,30,0.5424717918296926,0.11442793126514508,0.33382044642898034,0.33382044642898034,1.0,1.0531240142179157,0.016593513887841336,-0.06886474198672952,1.0
hea,vanilla_ls_nm,6,6,30,30,0.33586871363876525,0.19001896270361768,0.4766846931346799,0.4766846931346799,1.0,1.0940278411172888,0.019484508752208696,-0.10795881227506517,1.0
hea,vanilla_ls_nm,6,8,30,30,0.34279431838550967,0.18208037372200234,0.4763111463424693,0.4763111463424693,1.0,0.9724478109657264,0.011121093198133591,0.017248115344647444,0.9999999999999999
hea,vanilla_ls_nm,8,4,30,30,0.6091380763453784,0.09031037014638571,0.31392928563598155,0.31392928563598155,1.0,1.0267412986263689,0.017244219745878545,-0.07420911316554304,1.0
hea,vanilla_ls_nm,8,6,30,30,0.4667638256305834,0.21289396703203997,0.3830155937120921,0.3830155937120921,1.0,1.1904064322272112,0.07447921160078352,-0.25713431516143476,1.0
hea,vanilla_ls_nm,8,8,30,30,0.3280054786465041,0.2121840543731689,0.47365450211657156,0.47365450211657156,1.0,1.3043046149803672,0.046909091582600454,-0.35910250275009403,1.0
hea,vanilla_ls_nm,10,4,30,30,0.6320292453831713,0.09588919593394203,0.2970632516093722,0.2970632516093722,1.0,1.0275860179875433,0.019067485193868694,-0.047493632425142845,1.0
hea,vanilla_ls_nm,10,6,30,30,0.3477466899451067,0.2981938710040385,0.3883641571674462,0.3883641571674462,1.0,0.9874920951981051,0.08707472808576788,-0.05941276670505511,1.0
