ansatz,variant,n_qubits,depth,statistic,seeds_expected,seeds_estimable,cell_estimable,rho_bar,ci_lo,ci_hi,material_and_resolved,reason,sign,max_vif_median,kappa_median,top_status,bootstrap_seed
hea,pcgrad_nm,4,4,rho_C,30,30,True,-0.11739358664969811,-0.22409703663252034,-0.006320486384872101,False,below_material_threshold,-1,1.5179563466322445,1.9542766334037012,ok,1734140587
hea,pcgrad_nm,4,6,rho_nu,30,0,False,,,,False,cell_underdetermined,0,,,structural_target,2291983122
hea,pcgrad_nm,4,6,rho_cos,30,30,True,0.9251484962698147,0.9065519961283488,0.9402943997971842,True,material_and_resolved,1,1.610549131135985,2.072509051163885,ok,2315716473
hea,pcgrad_nm,4,6,rho_C,30,30,True,-0.29199263098992406,-0.389774709037609,-0.191700911544364,True,material_and_resolved,-1,1.610549131135985,2.072509051163885,ok,997658249
hea,pcgrad_nm,4,8,rho_nu,30,0,False,,,,False,cell_underdetermined,0,,,structural_target,850475939
hea,pcgrad_nm,4,8,rho_cos,30,30,True,0.8898428064586497,0.8683744768416041,0.9081246428922565,True,material_and_resolved,1,1.5813163421247047,2.0396782371663553,ok,200502521
hea,pcgrad_nm,4,8,rho_C,30,30,True,-0.28153613767161445,-0.3897723418331401,-0.1775879077440646,True,material_and_resolved,-1,1.5813163421247047,2.0396782371663558,ok,3698772622
hea,pcgrad_nm,6,4,rho_nu,30,0,False,,,,False,cell_underdetermined,0,,,structural_target,4095389669
hea,pcgrad_nm,6,4,rho_cos,30,27,True,0.9142009950196898,0.8798027634348278,0.9404451352163518,True,material_and_resolved,1,2.910545649229311,3.2013796164140835,ok,2040126404
hea,pcgrad_nm,6,4,rho_C,30,27,True,-0.007656455244436129,-0.166539776058717,0.152771102685906,False,below_material_threshold,-1,2.910545649229312,3.201379616414084,ok,444074143
hea,pcgrad_nm,6,6,rho_nu,30,0,False,,,,False,cell_underdetermined,0,,,structural_target,2448450887
hea,pcgrad_nm,6,6,rho_cos,30,30,True,0.9581333164312004,0.9351058439941077,0.9739135442688948,True,material_and_resolved,1,2.5838591120668117,2.9041461168918286,ok,2132750947
hea,pcgrad_nm,6,6,rho_C,30,30,True,0.130011899680229,-0.032366325070028436,0.2716073857977889,False,below_material_threshold,1,2.5838591120668126,2.9041461168918286,ok,3413674944
hea,pcgrad_nm,6,8,rho_nu,30,0,False,,,,False,cell_underdetermined,0,,,structural_target,1084085684
hea,pcgrad_nm,6,8,rho_cos,30,30,True,0.9515230048197268,0.929158170775353,0.9689287614995475,True,material_and_resolved,1,1.4963188861426384,1.9736261750291098,ok,3875378657
hea,pcgrad_nm,6,8,rho_C,30,30,True,-0.2767684801836006,-0.4134860739067032,-0.12905167860449462,True,material_and_resolved,-1,1.4963188861426384,1.9736261750291098,ok,395754274
hea,pcgrad_nm,8,4,rho_nu,30,0,False,,,,False,cell_underdetermined,0,,,structural_target,1688154574
hea,pcgrad_nm,8,4,rho_cos,30,28,True,0.8336198546737273,0.7718626040768689,0.8812652424789039,True,material_and_resolved,1,4.536660286027207,4.162611522877388,ok,3048983757
hea,pcgrad_nm,8,4,rho_C,30,28,True,0.08085432278407766,-0.062040353364647804,0.22577170351111833,False,below_material_threshold,1,4.536660286027207,4.1626115228773894,ok,1980021966
hea,pcgrad_nm,8,6,rho_nu,30,0,False,,,,False,cell_underdetermined,0,,,structural_target,3121745938
hea,pcgrad_nm,8,6,rho_cos,30,24,True,0.8174863400908746,0.6624557236592591,0.9172148573246258,True,material_and_resolved,1,4.934732821057587,4.3330471747821555,ok,2190783068
hea,pcgrad_nm,8,6,rho_C,30,24,True,-0.002036743459294058,-0.22269657523260938,0.19305080706251665,False,below_material_threshold,-1,4.934732821057587,4.333047174782156,ok,875197643
hea,pcgrad_nm,8,8,rho_nu,30,0,False,,,,False,cell_underdetermined,0,,,structural_target,605521372
hea,pcgrad_nm,8,8,rho_cos,30,23,True,0.8806321712528157,0.7977380044387046,0.9340105773870353,True,material_and_resolved,1,6.887420407434503,5.155423359501151,ok,3233707363
hea,pcgrad_nm,8,8,rho_C,30,23,True,0.14842980173764417,0.013368736293510267,0.2753211011753347,False,below_material_threshold,1,6.887420407434503,5.155423359501148,ok,1219175089
hea,pcgrad_nm,10,4,rho_nu,30,0,False,,,,False,cell_underdetermined,0,,,structural_target,1063344341
hea,pcgrad_nm,10,4,rho_cos,30,23,True,0.7340977449881201,0.6450994530938727,0.8112970077004662,True,material_and_resolved,1,6.819884632672199,5.085806095760919,ok,1208928012
hea,pcgrad_nm,10,4,rho_C,30,23,True,0.06426224519495213,-0.05514702628050905,0.18332038134133224,False,below_material_threshold,1,6.819884632672199,5.085806095760918,ok,1001248725
hea,pcgrad_nm,10,6,rho_nu,30,0,False,,,,False,cell_underdetermined,0,,,structural_target,2135119608
hea,pcgrad_nm,10,6,rho_cos,30,13,False,0.6580047675544374,0.5149531766891545,0.769657369959772,False,cell_underdetermined,1,10.431104771125801,6.48013232880751,collinear,3758813456
