basis,ansatz,variant,n_qubits,depth,seeds_expected,seeds_present,rho_nu_full_seeds_identifiable,rho_nu_full_seeds_estimable,rho_nu_full_fraction_expected,rho_nu_full_cell_estimable,rho_nu_full_vif_median,rho_nu_full_vif_p90,rho_nu_full_kappa_median,rho_cos_full_seeds_identifiable,rho_cos_full_seeds_estimable,rho_cos_full_fraction_expected,rho_cos_full_cell_estimable,rho_cos_full_vif_median,rho_cos_full_vif_p90,rho_cos_full_kappa_median,rho_C_full_seeds_identifiable,rho_C_full_seeds_estimable,rho_C_full_fraction_expected,rho_C_full_cell_estimable,rho_C_full_vif_median,rho_C_full_vif_p90,rho_C_full_kappa_median,route_required_stats,seeds_route_estimable,estimable_fraction_expected,estimable_fraction_present,cell_estimable,structural_notes
full,hea,vanilla,6,4,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,30,1.0,True,1.2302124477015064,3.155518650126762,1.5863883277542907,rho_C_full,30,1.0,1.0,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla,6,6,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,28,0.9333333333333333,True,1.863070720387223,7.831113392067643,2.2930003236972643,rho_C_full,28,0.9333333333333333,0.9333333333333333,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla,6,8,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,27,0.9,True,2.416959538795992,9.983519583946402,2.7450112236012068,rho_C_full,27,0.9,0.9,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla,8,4,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,30,1.0,True,1.0785753217729852,1.8597592649250272,1.318388643517315,rho_C_full,30,1.0,1.0,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla,8,6,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,27,0.9,True,1.3412146836179468,6.942342999636373,1.7422425717680587,rho_C_full,27,0.9,0.9,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla,8,8,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,24,0.8,True,2.6885820508357585,55.30235463311347,2.937305104142501,rho_C_full,24,0.8,0.8,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla,10,4,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,30,1.0,True,1.2927440787953095,2.2201756894138263,1.677816753422985,rho_C_full,30,1.0,1.0,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla,10,6,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,30,1.0,True,1.514502820651465,2.708855752724162,1.9448981398075074,rho_C_full,30,1.0,1.0,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla,10,8,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,26,0.8666666666666667,True,2.269061194251524,16.597362897588948,2.624059905417002,rho_C_full,26,0.8666666666666667,0.8666666666666667,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla_ls_nm,4,4,30,30,30,29,0.9666666666666667,True,2.0179268024625743,5.82114988762112,2.468295288670637,0,0,0.0,False,,,,30,29,0.9666666666666667,True,2.0179268024625743,5.82114988762112,2.468295288670636,rho_nu_full;rho_C_full,29,0.9666666666666667,0.9666666666666667,True,rho_C_full:cos_theta(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:cos_theta(structural_control) x30
