basis,ansatz,variant,n_qubits,depth,seeds_expected,seeds_present,rho_A_lite_seeds_identifiable,rho_A_lite_seeds_estimable,rho_A_lite_fraction_expected,rho_A_lite_cell_estimable,rho_A_lite_vif_median,rho_A_lite_vif_p90,rho_A_lite_kappa_median,rho_nu_lite_seeds_identifiable,rho_nu_lite_seeds_estimable,rho_nu_lite_fraction_expected,rho_nu_lite_cell_estimable,rho_nu_lite_vif_median,rho_nu_lite_vif_p90,rho_nu_lite_kappa_median,route_required_stats,seeds_route_estimable,estimable_fraction_expected,estimable_fraction_present,cell_estimable,structural_notes
lite,hea,pcgrad_nm,8,8,30,30,30,23,0.7666666666666667,True,3.301612779226745,25.251908957162836,3.334029437186386,0,0,0.0,False,,,,rho_A_lite,23,0.7666666666666667,0.7666666666666667,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,pcgrad_nm,10,4,30,30,30,30,1.0,True,1.2148971855611084,2.573783005938903,1.5655277476982903,0,0,0.0,False,,,,rho_A_lite,30,1.0,1.0,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,pcgrad_nm,10,6,30,30,30,23,0.7666666666666667,True,3.352178368176386,38.20424167785126,3.3645719856985097,0,0,0.0,False,,,,rho_A_lite,23,0.7666666666666667,0.7666666666666667,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,pcgrad_nm,10,8,30,30,30,14,0.4666666666666667,False,10.325484530134045,52.85971217233646,6.267025175773525,0,0,0.0,False,,,,rho_A_lite,14,0.4666666666666667,0.4666666666666667,False,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla,4,4,30,30,29,19,0.6333333333333333,False,4.3440906291651356,238.04519527863178,3.912933708923982,0,0,0.0,False,,,,rho_A_lite,19,0.6333333333333333,0.6333333333333333,False,rho_A_lite:A==G(target_control_duplicate) x1; rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla,4,6,30,30,26,13,0.43333333333333335,False,9.789430692281172,2810.8155144528637,6.092764685779299,0,0,0.0,False,,,,rho_A_lite,13,0.43333333333333335,0.43333333333333335,False,rho_A_lite:A==G(target_control_duplicate) x4; rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla,4,8,30,30,22,10,0.3333333333333333,False,16.573429979117243,3958.1875165036995,8.016726878569592,0,0,0.0,False,,,,rho_A_lite,10,0.3333333333333333,0.3333333333333333,False,rho_A_lite:A==G(target_control_duplicate) x8; rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla,6,4,30,30,30,26,0.8666666666666667,True,2.805758799286904,45.276423083841614,3.017508071944078,0,0,0.0,False,,,,rho_A_lite,26,0.8666666666666667,0.8666666666666667,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla,6,6,30,30,30,12,0.4,False,10.757163761487732,183.6749440675773,6.403447703934308,0,0,0.0,False,,,,rho_A_lite,12,0.4,0.4,False,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla,6,8,30,30,29,10,0.3333333333333333,False,13.221768145818757,3253.892883849245,7.132139484903498,0,0,0.0,False,,,,rho_A_lite,10,0.3333333333333333,0.3333333333333333,False,rho_A_lite:A==G(target_control_duplicate) x1; rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
